class,filepath
sbenu,./Train/sbenu/849.jpg
puma,./Train/puma/228.jpg
adidas,./Train/adidas/564.jpg
newbalance,./Train/newbalance/161.jpg
crocs,./Train/crocs/160.jpg
nike,./Train/nike/659.jpg
newbalance,./Train/newbalance/226.jpg
barefoot,./Train/barefoot/3.jpg
vans,./Train/vans/396.jpg
crocs,./Train/crocs/222.jpg
newbalance,./Train/newbalance/181.jpg
vans,./Train/vans/308.jpg
sbenu,./Train/sbenu/26 (2).jpg
adidas,./Train/adidas/1 (15).jpg
newbalance,./Train/newbalance/266.jpg
reebok,./Train/reebok/243.jpg
newbalance,./Train/newbalance/234.jpg
newbalance,./Train/newbalance/279.jpg
vans,./Train/vans/355.jpg
reebok,./Train/reebok/290.jpg
newbalance,./Train/newbalance/89 (2).jpg
nike,./Train/nike/54.jpg
sbenu,./Train/sbenu/146.jpg
vans,./Train/vans/102.jpg
vans,./Train/vans/386.jpg
reebok,./Train/reebok/11.jpg
lecoq,./Train/lecoq/122.jpg
converse,./Train/converse/18.jpg
lecoq,./Train/lecoq/90.jpg
newbalance,./Train/newbalance/166.jpg
sbenu,./Train/sbenu/599.jpg
sbenu,./Train/sbenu/234.jpg
lecoq,./Train/lecoq/30.jpg
nike,./Train/nike/179.jpg
newbalance,./Train/newbalance/222.jpg
adidas,./Train/adidas/51.jpg
sbenu,./Train/sbenu/637.jpg
lecoq,./Train/lecoq/292.jpeg
nike,./Train/nike/69.jpg
drmartens,./Train/drmartens/352.jpg
nike,./Train/nike/nike_12.jpg
adidas,./Train/adidas/1 (168).jpg
drmartens,./Train/drmartens/166.jpg
reebok,./Train/reebok/156.jpg
zeepseen,./Train/zeepseen/000025_goldpc.jpg
nike,./Train/nike/308.jpg
lecoq,./Train/lecoq/154.jpg
drmartens,./Train/drmartens/38 (2).jpg
converse,./Train/converse/242.jpg
converse,./Train/converse/188.jpg
adidas,./Train/adidas/1 (56).jpg
drmartens,./Train/drmartens/399.jpeg
nike,./Train/nike/167.jpg
descente,./Train/descente/421.jpg
lecoq,./Train/lecoq/293.jpg
puma,./Train/puma/33.jpg
puma,./Train/puma/160.jpg
drmartens,./Train/drmartens/504.jpg
nike,./Train/nike/531.jpg
vans,./Train/vans/285.jpg
newbalance,./Train/newbalance/298.jpg
puma,./Train/puma/384.jpg
converse,./Train/converse/478.jpg
adidas,./Train/adidas/453.jpg
reebok,./Train/reebok/2 (39).jpg
drmartens,./Train/drmartens/54.jpg
drmartens,./Train/drmartens/383.jpg
drmartens,./Train/drmartens/350.jpg
reebok,./Train/reebok/188.jpg
barefoot,./Train/barefoot/920.jpg
converse,./Train/converse/472.jpg
vans,./Train/vans/435.jpg
nike,./Train/nike/276.jpg
crocs,./Train/crocs/177.jpg
crocs,./Train/crocs/81.jpg
vans,./Train/vans/259.jpg
drmartens,./Train/drmartens/29.jpg
adidas,./Train/adidas/1 (124).jpg
drmartens,./Train/drmartens/520.jpg
drmartens,./Train/drmartens/382.jpg
vans,./Train/vans/177.jpg
newbalance,./Train/newbalance/171.jpg
lecoq,./Train/lecoq/187.jpg
drmartens,./Train/drmartens/392.jpeg
reebok,./Train/reebok/2 (55).jpg
barefoot,./Train/barefoot/115.jpg
sbenu,./Train/sbenu/752.jpg
zeepseen,./Train/zeepseen/2 (2).jpg
nike,./Train/nike/283.jpg
adidas,./Train/adidas/91.jpg
lecoq,./Train/lecoq/84.jpg
reebok,./Train/reebok/237.jpg
adidas,./Train/adidas/132.jpg
lecoq,./Train/lecoq/4.jpg
nike,./Train/nike/502.jpg
adidas,./Train/adidas/1 (50).jpg
adidas,./Train/adidas/218.jpeg
crocs,./Train/crocs/172.jpg
reebok,./Train/reebok/599.jpg
sbenu,./Train/sbenu/170.jpg
